0	440	0.93
0	2	0.85
0	579	0.62
0	1300	0.57
0	189	0.78
0	756	0.88
0	59	0.84
0	3101	0.96
0	22	0.40
0	307	0.52
0	880	0.38
0	160	0.31
0	3295	0.06
0	123	0.46
0	3424	0.83
0	1639	0.43
0	1685	0.22
0	1290	0.94
0	125	0.32
0	2132	0.43
0	404	0.02
0	287	0.11
0	251	0.94
0	864	0.18
1	8	0.76
1	1751	0.37
2	2133	0.87
2	3	0.54
2	225	0.64
2	928	0.27
2	3321	0.07
2	1207	0.07
2	172	0.92
2	2046	0.87
2	2757	0.60
2	2758	0.57
4	3160	0.74
4	1821	0.64
4	1225	0.06
4	5	0.62
4	2423	0.56
4	403	0.73
4	2533	0.15
5	403	0.88
5	57	0.55
6	199	0.06
6	1	0.92
6	5	0.11
6	3347	0.12
6	7	0.32
6	8	0.17
6	828	0.95
6	1432	0.84
6	3083	0.08
6	771	0.94
6	347	0.86
6	403	0.87
6	113	0.45
7	8	0.57
8	214	0.69
8	2745	0.47
9	10	0.68
9	11	0.69
10	90	0.44
10	178	0.27
10	2	0.96
10	475	0.97
10	0	0.07
10	241	0.48
10	1389	0.97
10	225	0.84
10	1722	0.47
10	11	0.82
10	186	0.38
10	784	0.48
10	640	0.91
10	60	1.00
10	488	0.81
10	22	0.32
10	1179	0.72
10	444	0.08
10	2910	0.36
10	306	0.59
10	387	0.09
10	713	0.87
10	880	0.57
10	118	0.84
10	2088	0.12
10	538	0.61
10	204	0.82
10	1025	0.74
10	165	0.88
10	243	0.07
10	2956	0.94
10	237	0.18
10	404	0.33
10	160	0.84
11	91	0.41
11	713	0.74
11	95	0.22
11	96	0.89
11	241	0.45
11	225	0.65
11	1635	0.14
11	1290	0.08
11	662	0.41
11	2882	0.45
11	237	0.04
11	2996	0.37
11	60	0.57
11	320	0.85
11	22	0.09
11	153	0.86
11	562	0.09
13	55	0.90
13	14	0.37
13	15	0.63
13	600	0.72
14	958	0.37
14	404	0.12
14	72	0.46
14	2528	0.60
14	3488	0.06
14	294	0.37
14	189	0.53
14	397	0.38
14	15	0.02
14	1232	0.80
14	452	0.86
14	287	0.65
14	723	0.09
15	452	0.22
15	3041	0.47
15	2422	0.83
16	749	0.89
16	3443	0.39
16	1908	0.33
16	291	0.82
16	72	0.98
16	3536	0.23
16	223	0.04
16	396	0.20
16	3490	0.78
16	3064	0.25
16	17	0.56
16	20	0.26
16	1810	0.61
17	16	0.50
18	940	0.53
18	1360	0.67
18	1170	0.80
18	2138	0.48
18	372	0.36
18	665	0.72
18	526	0.03
18	557	0.79
18	20	0.58
18	19	0.57
18	1094	0.85
18	3811	0.51
18	3812	0.40
18	1574	0.39
19	20	0.59
20	1170	0.27
20	665	0.57
20	372	0.78
20	72	0.51
21	870	0.19
21	1290	0.21
21	225	0.68
21	1298	0.81
21	11	0.97
21	1591	0.59
21	425	0.26
21	22	0.82
21	958	0.81
21	880	0.28
21	3605	0.63
21	160	0.38
21	828	0.54
21	36	0.58
21	3354	0.64
21	404	0.12
21	1160	0.17
21	1933	0.73
22	1036	0.37
22	1861	0.95
22	744	0.52
22	241	0.35
22	252	0.15
23	89	0.59
23	444	0.29
23	237	0.86
23	479	0.03
23	1526	0.58
23	307	0.61
23	3186	0.25
23	850	0.84
23	24	0.24
23	25	0.33
23	2360	0.65
23	940	0.72
23	109	0.19
23	2174	0.98
23	241	0.63
23	59	0.79
23	2941	0.74
23	1408	0.41
23	481	0.62
23	3302	0.08
24	3033	0.08
24	900	0.67
24	25	0.06
26	2618	0.53
26	125	0.06
26	2560	0.31
26	152	0.05
26	251	0.97
27	176	0.82
27	3352	0.78
27	3821	0.09
27	1752	0.38
27	1559	0.18
27	227	0.90
27	3311	0.19
27	1834	0.90
27	1089	0.86
27	1341	0.26
27	1837	0.35
27	711	0.05
27	712	0.08
27	28	0.54
27	29	0.72
27	30	0.00
27	3851	0.50
27	3822	0.56
27	2831	0.75
27	2923	0.79
27	721	0.79
27	722	0.30
27	285	0.40
27	3910	0.68
28	711	0.21
28	712	0.03
28	791	0.88
28	27	0.53
28	29	0.91
28	30	0.56
28	1756	0.26
28	176	0.89
28	1559	0.93
28	3251	0.17
28	721	0.10
28	3776	0.12
29	176	0.77
29	669	0.67
29	1251	0.47
29	27	0.22
29	3669	0.13
29	30	0.88
29	1308	0.71
30	1075	0.56
30	1076	0.91
30	1140	0.76
30	1978	0.59
31	2650	0.35
31	1007	0.48
31	625	0.64
31	1764	0.87
31	32	0.66
31	815	0.81
31	213	0.89
31	579	0.93
31	3418	0.95
32	1125	0.51
32	706	0.23
32	31	0.50
32	213	0.23
32	127	0.27
32	3515	0.41
33	2011	0.66
33	3296	0.99
34	35	0.25
35	138	0.54
35	3900	0.24
35	1137	0.68
36	387	0.78
36	389	0.12
